user_id,gender,transformers,captain_america,minions,iron_man,frozen,jurassic_park,star_wars,harry_potter,fast_and_furious,titanic,avatar,the_matrix,the_lord_of_the_ring,pee_mak,bad_genius,toy_story,fantastic_beasts
u_001,M,-101,,,4,4,4,,4,,,,,,,,,
u_002,F,4,-102,4,5,4,5,5,5,4,4,5,,5,4,5,5,4
u_003,F,4,5,-103,4,5,5,,,2,,5,,,5,,,3
u_004,F,3,4,3,-104,4,,,4,4,5,4,,,4,5,4,3
u_005,F,,,2,,-105,4,,5,,,3,,,0,4,4,4
u_006,M,4,4,3,4,,-106,4,5,4,,5,4,5,3,3,3,3
u_007,F,4,3,5,5,4,3,-107,5,4,3,2,,3,3,,5,0
u_008,M,3,3,2,4,5,3,,-108,3,2,4,3,3,3,4,3,3
u_009,M,3,3,,4,3,3,,3,-109,5,3,3,,4,3,4,3
u_010,M,3,4,3,4,4,4,,4,4,-110,4,4,,4,4,5,4
u_011,F,3,3,2,4,3,5,,4,3,,-111,3,4,1,,,3
u_012,M,5,4,5,4,4,4,3,4,5,3,3,-112,3,,3,3,3
u_013,M,3,4,,4,3,,3,4,,,3,4,-113,,,3,
u_014,M,2,3,3,3,3,4,3,4,2,,4,4,3,-114,3,3,5
u_015,M,4,4,4,4,5,,5,5,4,,,5,,,-115,4,
u_016,F,,3,,,3,,,4,,,3,,,3,,-116,
u_017,M,5,0,1,3,,1,,4,5,5,1,1,2,0,,1,-117
u_018,M,,5,4,5,,,5,,,,,,,,5,4,
u_019,F,,,,4,5,,,5,,3,,,,3,5,4,
u_020,F,5,5,4,5,5,,3,5,4,,3,,,5,,3,5
u_021,M,5,5,5,5,5,5,4,5,3,3,5,4,5,,,4,3
u_022,M,3,,,,,,,3,,3,4,,,,2,,
u_023,F,2,5,4,5,5,4,,5,4,5,3,3,5,,3,5,5
u_024,F,1,3,,4,5,5,2,5,,5,4,,5,4,5,0,5
