year,year_month,Date,Max.TemperatureF,Mean.TemperatureF,Min.TemperatureF,Max.Humidity,Mean.Humidity,Min.Humidity,Max.Wind.SpeedMPH,Mean.Wind.SpeedMPH,CloudCover,Events,city,season
2013,2013-01,2013-01-01,41,34.0,27,64,52,40,29,15,7.0,,New York City (USA),Winter
2013,2013-01,2013-01-02,35,29.0,23,54,45,35,28,15,7.0,,New York City (USA),Winter
2013,2013-01,2013-01-03,33,29.0,25,63,52,41,18,12,6.0,,New York City (USA),Winter
2013,2013-01,2013-01-04,39,35.0,30,63,56,48,25,16,3.0,,New York City (USA),Winter
2013,2013-01,2013-01-05,45,39.0,32,69,53,37,25,12,3.0,,New York City (USA),Winter
2013,2013-01,2013-01-06,45,39.0,33,92,71,49,17,10,6.0,Snow,New York City (USA),Winter
2013,2013-01,2013-01-07,47,39.0,30,69,52,34,21,8,1.0,,New York City (USA),Winter
2013,2013-01,2013-01-08,49,40.0,30,85,68,50,20,11,3.0,,New York City (USA),Winter
2013,2013-01,2013-01-09,48,41.0,33,92,76,60,20,8,5.0,,New York City (USA),Winter
2013,2013-01,2013-01-10,50,44.0,37,62,47,31,25,12,4.0,,New York City (USA),Winter
2013,2013-01,2013-01-11,47,40.0,33,100,74,48,13,6,8.0,Rain,New York City (USA),Winter
2013,2013-01,2013-01-12,49,46.0,43,100,93,86,14,6,8.0,Fog-Rain,New York City (USA),Winter
2013,2013-01,2013-01-13,47,45.0,42,100,96,92,17,6,8.0,Fog-Rain,New York City (USA),Winter
2013,2013-01,2013-01-14,58,49.0,39,100,73,46,23,9,7.0,Fog-Rain,New York City (USA),Winter
2013,2013-01,2013-01-15,39,37.0,35,85,70,54,16,9,8.0,Rain,New York City (USA),Winter
2013,2013-01,2013-01-16,38,36.0,33,96,86,75,21,9,8.0,Rain,New York City (USA),Winter
2013,2013-01,2013-01-17,46,41.0,36,85,65,45,21,12,7.0,,New York City (USA),Winter
2013,2013-01,2013-01-18,36,31.0,25,56,42,27,22,13,4.0,,New York City (USA),Winter
2013,2013-01,2013-01-19,52,42.0,31,64,51,38,25,16,3.0,,New York City (USA),Winter
2013,2013-01,2013-01-20,56,44.0,31,70,45,19,35,18,2.0,,New York City (USA),Winter
2013,2013-01,2013-01-21,33,30.0,26,85,60,34,22,9,7.0,Snow,New York City (USA),Winter
2013,2013-01,2013-01-22,28,21.0,14,57,42,27,28,18,3.0,Snow,New York City (USA),Winter
2013,2013-01,2013-01-23,21,17.0,12,48,38,28,22,14,3.0,,New York City (USA),Winter
2013,2013-01,2013-01-24,26,20.0,13,58,41,24,33,16,3.0,,New York City (USA),Winter
2013,2013-01,2013-01-25,24,19.0,14,84,63,41,22,9,7.0,Snow,New York City (USA),Winter
2013,2013-01,2013-01-26,27,21.0,14,74,57,40,26,13,2.0,,New York City (USA),Winter
2013,2013-01,2013-01-27,35,27.0,18,67,47,27,17,9,2.0,,New York City (USA),Winter
2013,2013-01,2013-01-28,35,30.0,24,96,76,55,20,9,8.0,Rain-Snow,New York City (USA),Winter
2013,2013-01,2013-01-29,48,41.0,34,100,88,76,16,7,8.0,Rain,New York City (USA),Winter
2013,2013-01,2013-01-30,52,47.0,41,100,93,86,35,17,8.0,Fog-Rain,New York City (USA),Winter
2013,2013-01,2013-01-31,56,43.0,30,100,65,29,44,29,5.0,Rain-Snow,New York City (USA),Winter
2013,2013-02,2013-02-01,33,29.0,24,60,44,28,30,20,4.0,Snow,New York City (USA),Winter
2013,2013-02,2013-02-02,31,26.0,20,81,56,31,23,13,5.0,Snow,New York City (USA),Winter
2013,2013-02,2013-02-03,32,27.0,22,88,69,50,14,7,6.0,Snow,New York City (USA),Winter
2013,2013-02,2013-02-04,32,28.0,24,69,51,33,28,16,5.0,,New York City (USA),Winter
2013,2013-02,2013-02-05,32,30.0,28,85,72,58,10,6,8.0,Snow,New York City (USA),Winter
2013,2013-02,2013-02-06,41,35.0,29,92,59,26,25,12,5.0,Snow,New York City (USA),Winter
2013,2013-02,2013-02-07,33,28.0,23,63,44,25,16,7,6.0,,New York City (USA),Winter
2013,2013-02,2013-02-08,36,32.0,27,92,78,64,32,20,8.0,Fog-Rain-Snow,New York City (USA),Winter
2013,2013-02,2013-02-09,32,27.0,21,92,64,35,31,20,4.0,Fog-Snow,New York City (USA),Winter
2013,2013-02,2013-02-10,34,26.0,17,82,57,32,15,6,4.0,,New York City (USA),Winter
2013,2013-02,2013-02-11,45,40.0,34,100,85,70,23,7,8.0,Fog-Rain,New York City (USA),Winter
2013,2013-02,2013-02-12,47,42.0,37,89,65,41,26,14,4.0,,New York City (USA),Winter
2013,2013-02,2013-02-13,43,36.0,28,78,61,44,16,5,6.0,Snow,New York City (USA),Winter
2013,2013-02,2013-02-14,45,39.0,32,92,66,40,17,9,4.0,Rain-Snow,New York City (USA),Winter
2013,2013-02,2013-02-15,49,41.0,32,89,73,56,17,8,4.0,Rain,New York City (USA),Winter
2013,2013-02,2013-02-16,45,38.0,31,89,66,43,26,14,8.0,Rain-Snow,New York City (USA),Winter
2013,2013-02,2013-02-17,34,26.0,18,47,36,24,37,27,6.0,,New York City (USA),Winter
2013,2013-02,2013-02-18,36,27.0,18,53,38,23,30,16,2.0,,New York City (USA),Winter
2013,2013-02,2013-02-19,45,38.0,31,96,73,49,30,15,6.0,Rain,New York City (USA),Winter
2013,2013-02,2013-02-20,39,33.0,26,59,46,33,32,21,3.0,,New York City (USA),Winter
2013,2013-02,2013-02-21,37,31.0,24,55,45,35,33,21,2.0,,New York City (USA),Winter
2013,2013-02,2013-02-22,38,32.0,26,76,62,47,21,9,6.0,Rain-Snow,New York City (USA),Winter
2013,2013-02,2013-02-23,44,40.0,36,100,91,82,20,12,8.0,Rain,New York City (USA),Winter
2013,2013-02,2013-02-24,49,42.0,34,92,70,48,29,16,7.0,Rain,New York City (USA),Winter
